latency_s,history_s,n_seconds,accuracy,kappa,macro_f1,f1_W,f1_N1,f1_N2,f1_N3,f1_REM
198,42,194923,0.7565,0.6737,0.7003,0.8940,0.4180,0.7860,0.6915,0.7121
199,41,194923,0.7545,0.6711,0.6981,0.8935,0.4144,0.7839,0.6900,0.7090
200,40,194923,0.7524,0.6684,0.6957,0.8924,0.4104,0.7817,0.6869,0.7072
201,39,194923,0.7512,0.6667,0.6942,0.8918,0.4106,0.7803,0.6845,0.7036
202,38,194923,0.7488,0.6635,0.6912,0.8907,0.4045,0.7779,0.6823,0.7006
203,37,194923,0.7461,0.6600,0.6881,0.8894,0.3991,0.7753,0.6794,0.6971
204,36,194923,0.7448,0.6581,0.6863,0.8889,0.3978,0.7739,0.6772,0.6937
205,35,194923,0.7422,0.6547,0.6830,0.8878,0.3930,0.7713,0.6724,0.6905
206,34,194923,0.7407,0.6528,0.6813,0.8872,0.3906,0.7698,0.6705,0.6883
207,33,194923,0.7386,0.6499,0.6786,0.8863,0.3864,0.7679,0.6672,0.6850
208,32,194923,0.7364,0.6471,0.6760,0.8850,0.3832,0.7660,0.6651,0.6809
209,31,194923,0.7344,0.6445,0.6737,0.8843,0.3812,0.7634,0.6626,0.6771
210,30,194923,0.7450,0.6587,0.6847,0.8959,0.3863,0.7748,0.6877,0.6786
211,29,194923,0.7446,0.6581,0.6843,0.8953,0.3862,0.7746,0.6891,0.6762
212,28,194923,0.7440,0.6574,0.6831,0.8955,0.3871,0.7743,0.6864,0.6720
213,27,194923,0.7432,0.6564,0.6822,0.8951,0.3864,0.7734,0.6864,0.6695
214,26,194923,0.7423,0.6553,0.6808,0.8959,0.3850,0.7714,0.6836,0.6680
215,25,194923,0.7397,0.6520,0.6782,0.8947,0.3811,0.7690,0.6834,0.6627
216,24,194923,0.7385,0.6504,0.6764,0.8941,0.3786,0.7684,0.6822,0.6586
217,23,194923,0.7367,0.6481,0.6743,0.8941,0.3780,0.7656,0.6788,0.6550
218,22,194923,0.7353,0.6463,0.6721,0.8935,0.3736,0.7647,0.6780,0.6507
219,21,194923,0.7335,0.6439,0.6701,0.8924,0.3724,0.7626,0.6761,0.6470
220,20,194923,0.7308,0.6404,0.6667,0.8918,0.3693,0.7592,0.6722,0.6412
221,19,194923,0.7282,0.6371,0.6636,0.8911,0.3655,0.7564,0.6698,0.6354
222,18,194923,0.7257,0.6340,0.6608,0.8904,0.3634,0.7539,0.6662,0.6301
223,17,194923,0.7220,0.6292,0.6569,0.8879,0.3583,0.7501,0.6632,0.6251
224,16,194923,0.7184,0.6247,0.6530,0.8863,0.3550,0.7460,0.6598,0.6180
225,15,194923,0.7137,0.6186,0.6476,0.8839,0.3499,0.7409,0.6537,0.6094
226,14,194923,0.7077,0.6109,0.6408,0.8811,0.3428,0.7342,0.6457,0.6000
227,13,194923,0.7028,0.6048,0.6357,0.8780,0.3396,0.7292,0.6395,0.5923
228,12,194923,0.6969,0.5973,0.6298,0.8741,0.3348,0.7234,0.6346,0.5820
229,11,194923,0.6908,0.5894,0.6224,0.8707,0.3261,0.7161,0.6262,0.5726
230,10,194923,0.6846,0.5815,0.6155,0.8675,0.3215,0.7085,0.6179,0.5620
231,9,194923,0.6760,0.5706,0.6064,0.8608,0.3131,0.6999,0.6087,0.5493
232,8,194923,0.6655,0.5577,0.5950,0.8548,0.2995,0.6880,0.5973,0.5355
233,7,194923,0.6545,0.5437,0.5826,0.8484,0.2868,0.6750,0.5833,0.5194
234,6,194923,0.6419,0.5279,0.5682,0.8406,0.2710,0.6599,0.5674,0.5020
235,5,194923,0.6264,0.5084,0.5525,0.8290,0.2616,0.6413,0.5481,0.4824
236,4,194923,0.6031,0.4799,0.5287,0.8140,0.2452,0.6111,0.5175,0.4556
237,3,194923,0.5811,0.4516,0.5061,0.7924,0.2260,0.5885,0.4990,0.4244
238,2,194923,0.5411,0.4012,0.4663,0.7517,0.2091,0.5459,0.4485,0.3764
239,1,194923,0.4691,0.3123,0.4043,0.6596,0.1868,0.4877,0.3792,0.3082
